CIE1,ASSIGN1,CIE2,ASSIGN2,CIE3,ASSIGN3,CIE4,ASSIGN4,CIE5,ASSIGN5,CGPA,SGPA,MathRate,CulturalRatings,SportRate,ResearchRatings
17,16,17,15,19,12,23,17,26,15,7.2,7.302137614599382,10,9,8,8
22,20,26,18,23,15,20,19,19,17,8.4,8.088468886922325,8,9,9,6
16,17,21,17,26,19,28,15,29,18,8.0,8.109610063893019,7,6,5,10
24,20,26,17,27,19,30,18,29,18,9.6,9.034290193913206,10,7,7,5
29,19,27,16,30,15,27,20,30,19,9.0,9.308510013568277,5,9,6,10
30,20,30,17,29,17,30,18,29,19,10.0,10.40354278544614,5,9,9,6
28,16,27,20,24,19,29,20,30,16,9.6,9.317689872591481,8,10,6,6
14,19,15,15,12,13,9,16,14,17,6.4,6.1642168994232245,6,7,7,6
18,15,21,17,24,17,28,16,29,17,8.6,8.030508183985221,10,6,10,8
26,15,28,17,27,15,24,17,26,17,8.4,8.411129763164825,8,8,6,9
22,16,25,20,30,16,27,17,26,16,8.4,8.194006855275129,6,7,8,7
12,19,11,18,14,16,18,14,18,14,6.6,6.458710914000976,6,7,7,6
14,14,14,13,14,17,17,12,16,12,6.2,6.144581895370467,8,6,7,8
23,15,27,19,30,20,29,16,29,19,8.8,8.311169184556714,10,5,7,6
19,12,24,19,28,18,26,19,24,18,8.2,8.47798771318178,5,8,7,6
16,15,21,17,26,17,29,20,28,20,8.8,8.433498164764403,9,5,6,7
29,20,29,16,29,17,30,17,28,15,9.0,9.35159245021402,6,7,10,10
30,15,27,16,27,15,29,15,28,20,8.6,8.33078394350184,8,6,7,6
29,19,29,19,28,20,26,18,25,17,9.6,9.042271033578563,9,7,7,8
15,11,19,10,22,15,23,20,21,19,7.0,7.375941139580009,10,5,6,6
25,19,28,19,26,20,29,15,30,16,9.6,9.19565739963734,9,8,9,9
20,13,18,17,22,18,21,16,26,16,7.2,7.00831279708795,6,10,6,7
17,11,22,19,22,18,24,16,26,20,7.4,7.451374223467533,9,8,8,5
18,10,16,20,21,18,25,15,29,16,6.8,6.352861909311524,5,7,8,6
17,19,15,18,15,19,16,10,17,20,7.2,7.09644640080781,8,8,7,8
17,18,18,15,15,18,15,13,14,17,6.6,6.171661994916139,5,10,6,7
22,17,25,20,22,19,21,18,20,13,7.6,7.297775517186955,8,5,9,8
30,17,29,18,30,17,30,18,30,16,10.0,10.083903204511444,10,8,6,8
15,11,12,11,16,12,16,12,17,20,6.4,6.451026118105106,6,7,7,7
16,14,19,11,18,18,19,19,23,17,6.8,6.11749246431355,5,8,5,9
15,11,15,20,17,16,22,17,23,15,7.0,7.131591217170579,5,5,6,9
18,10,16,13,21,18,25,19,25,17,7.6,7.384113158007501,9,8,10,9
14,12,12,20,12,17,17,18,22,19,6.8,6.166847017802392,7,10,5,9
28,20,26,16,26,16,29,15,26,18,9.2,9.168876745180725,7,7,9,6
15,11,14,17,11,19,15,11,12,11,6.2,6.384469819210176,8,6,9,9
14,10,13,14,10,18,13,20,12,20,6.4,6.131182441788209,5,5,7,9
19,14,17,15,14,14,13,16,12,11,6.4,6.3314619648797335,6,8,8,5
19,12,23,19,23,16,20,14,25,17,8.0,8.471109790080954,10,7,10,10
23,15,24,16,23,19,24,19,29,16,7.6,7.115487503326451,9,8,6,8
19,18,24,18,24,20,26,19,24,20,8.2,8.495835013700114,7,10,10,10
19,12,24,20,27,20,26,17,29,19,9.0,9.054441584362014,10,5,8,9
14,19,11,18,11,10,10,14,8,20,6.2,6.443338415119532,9,6,8,5
17,14,19,14,21,18,18,19,21,15,7.6,7.368201404502306,8,5,10,6
15,17,15,14,17,10,21,15,18,14,6.8,6.338936261274412,5,8,8,10
25,18,23,19,23,18,28,17,30,17,8.6,8.13095886965477,5,5,7,6
29,17,26,15,25,15,24,15,25,19,8.4,8.229084713675764,7,10,7,7
26,17,28,19,30,17,30,20,27,16,9.6,9.483777017213471,5,5,7,8
14,10,19,11,24,20,29,20,26,16,8.0,8.04912253091452,5,7,8,5
13,14,17,15,18,19,21,15,19,13,7.2,7.286179604812801,6,7,7,8
15,19,16,16,16,15,18,18,19,11,7.0,7.114728964800673,6,5,6,6
17,18,16,14,15,10,16,10,17,17,6.2,6.1045197150665755,5,6,6,7
16,12,17,18,20,15,21,16,18,20,6.8,6.447731504056049,6,10,7,7
27,20,24,18,26,17,23,20,20,12,8.8,8.346330774373241,7,5,9,8
18,15,22,19,25,15,30,16,27,16,8.2,8.302884703200393,10,6,9,8
25,16,24,18,27,18,25,17,24,20,8.4,8.130235709564165,7,9,7,9
29,17,29,16,29,18,27,15,25,19,8.8,8.047278278543638,5,10,7,6
26,16,29,17,29,15,29,18,27,19,9.6,9.133960563613599,10,6,7,5
14,20,13,19,15,19,14,11,13,18,6.8,6.23258426686687,8,9,5,7
18,15,21,18,23,16,20,14,25,18,7.8,7.08654307788084,6,5,5,8
25,16,26,17,29,19,29,19,30,19,9.6,9.281115001184165,7,7,5,8
23,18,24,16,25,18,29,15,28,18,8.6,8.22877481742494,8,5,6,5
29,15,29,19,27,20,30,19,28,15,9.6,9.32805502007625,10,6,7,9
14,18,13,15,17,19,20,14,24,16,6.8,6.326797806394267,10,7,8,7
15,16,13,12,18,11,15,16,17,17,6.6,6.247763223302665,10,7,9,6
20,12,25,18,30,16,30,16,29,19,9.2,9.00617465300446,7,8,8,6
30,19,27,19,30,16,27,17,24,17,9.6,9.040209963808165,8,8,5,5
24,20,23,18,24,16,25,16,23,15,8.2,8.05251984531963,5,8,10,5
29,15,30,16,27,20,26,19,24,15,8.6,8.422328224380436,5,5,6,10
25,17,23,15,22,19,19,13,17,17,8.0,8.405538345893465,10,7,7,10
23,17,22,16,21,15,18,18,23,17,7.2,7.1385839557724475,5,9,10,10
19,13,17,19,14,16,15,12,12,19,6.8,6.415224847490322,7,6,7,5
18,17,20,12,20,13,17,12,20,19,6.8,6.0850456993479805,7,7,5,9
26,19,24,15,29,19,28,18,25,19,8.6,8.374652402275894,10,9,6,10
27,20,30,16,28,15,27,17,24,20,9.4,9.422364422598037,10,5,5,5
16,19,17,19,17,17,17,12,21,19,6.6,6.214188628199405,10,8,8,5
24,15,21,16,26,18,28,15,25,15,8.0,8.250550847780689,5,7,6,9
28,20,27,20,29,17,27,20,26,19,9.2,9.255554647266251,10,8,10,5
14,14,12,15,16,20,13,15,18,15,6.6,6.00048583959054,10,8,5,7
24,16,25,17,24,18,27,20,26,17,8.6,8.271080964587966,10,5,5,10
13,17,13,17,15,10,17,17,20,18,6.6,6.383822462288764,9,9,10,7
25,19,29,19,30,17,27,15,26,18,9.4,9.471342394260358,10,10,9,9
19,18,20,11,21,16,24,15,28,17,7.4,7.04042109981876,7,7,5,7
20,11,25,17,23,19,22,18,19,20,7.8,7.119996965373649,5,8,5,7
22,19,27,16,28,17,30,19,29,20,8.8,8.341443727766105,6,8,10,7
21,16,23,15,28,16,25,19,26,17,8.6,8.32844313048886,8,8,6,8
16,13,16,15,21,19,25,18,27,19,7.6,7.279437906945716,5,10,10,5
19,12,24,16,21,20,18,19,18,11,7.2,7.057792172843233,6,5,6,9
21,16,26,15,24,18,22,16,21,17,8.4,8.45204656877712,6,10,7,10
18,13,22,20,22,16,20,11,18,14,7.6,7.480025664982619,5,8,10,10
17,17,21,18,26,18,27,18,27,20,8.0,8.374137660543962,7,10,8,8
17,17,17,17,21,18,20,15,24,15,7.2,7.047418634928588,5,7,5,8
24,15,21,15,23,16,27,18,26,15,7.8,7.326947533986628,10,6,6,6
13,17,13,15,15,12,18,18,18,20,6.8,6.201904799811488,10,8,6,9
27,16,26,18,30,17,28,18,27,17,9.4,9.058725648565263,8,5,9,8
13,18,17,13,20,18,24,17,26,20,8.0,8.347195390834548,8,8,10,8
15,11,19,17,18,10,17,11,14,15,6.4,6.131533087549359,7,10,8,6
13,15,16,11,21,17,23,20,20,12,7.2,7.10929121507274,8,9,6,5
18,10,22,16,23,17,28,17,29,15,7.0,7.041583099494537,5,7,7,5
14,11,16,11,21,17,22,17,19,12,7.0,7.215947326938576,5,5,9,9
13,14,15,19,13,12,15,13,19,14,6.4,6.42841134895794,8,8,8,10
18,17,15,13,15,17,20,17,22,16,7.0,7.031238029418347,7,5,5,6
29,19,29,18,28,15,25,20,26,20,9.0,9.180316887607306,5,8,7,6
16,12,15,10,20,15,24,16,21,15,6.4,6.271060973929732,10,8,6,5
17,13,18,16,22,19,25,16,29,19,8.2,8.486492815579394,10,7,7,7
13,13,11,14,15,16,19,16,23,20,6.8,6.47691340983137,8,10,5,8
17,19,20,20,21,15,18,11,18,14,7.0,7.2929899998520975,7,8,5,5
26,17,27,15,24,19,21,18,24,18,8.8,8.354870137103374,7,5,9,7
30,20,28,17,30,16,27,16,30,17,9.0,9.239160768676328,5,8,10,10
15,16,17,14,20,19,25,20,24,15,7.2,7.009316235784908,5,8,8,6
28,16,30,18,29,15,29,16,30,15,8.0,8.375535681616148,10,5,10,5
18,18,19,11,20,14,21,15,26,15,7.6,7.294181623069644,7,10,9,6
12,11,11,14,11,20,9,17,10,13,6.2,6.0012886143790105,5,8,7,8
29,16,27,20,30,15,30,18,29,19,8.4,8.305651054996387,10,5,10,7
20,11,20,20,17,17,16,10,21,19,6.4,6.446124016179046,8,10,5,9
22,18,26,17,24,15,26,20,23,17,7.8,7.0633698424174804,8,7,9,6
13,16,10,11,14,11,11,15,14,17,6.2,6.214784479856386,8,5,5,6
30,15,30,16,29,15,28,17,27,15,8.0,8.050488551385723,10,10,7,5
22,20,20,19,25,20,26,18,29,20,8.4,8.12056100589902,7,7,9,8
23,16,24,18,27,20,24,18,21,18,8.8,8.042068398220412,6,8,7,9
30,20,28,19,25,15,29,15,28,20,9.0,9.218529881805958,5,8,5,9
13,12,11,14,9,14,8,11,9,16,6.0,6.464007619311396,7,7,5,10
12,14,12,14,11,13,8,18,12,16,6.0,6.358504113367673,9,7,10,7
17,20,20,11,19,16,19,19,21,19,7.0,7.268542175912912,6,9,10,10
24,16,26,15,26,20,27,16,27,20,8.8,8.176912077063585,7,10,5,5
30,16,29,17,26,20,23,18,28,16,9.6,9.495647460087032,7,6,9,8
14,11,18,13,22,20,19,20,24,20,7.8,7.39996487904177,8,7,7,6
23,20,22,18,20,16,21,16,23,19,8.0,8.024468261094446,10,8,8,8
27,20,27,20,26,16,24,16,21,15,8.6,8.357828544628624,6,10,5,7
25,20,23,15,23,20,24,20,26,18,8.2,8.370455862990088,7,7,10,5
16,13,20,10,18,14,20,20,17,16,6.4,6.147763657879793,7,7,6,10
29,20,26,18,28,20,26,17,23,20,9.4,9.2945163457234,6,10,8,7
13,14,16,13,20,16,20,15,18,17,6.4,6.328009743425326,7,6,8,5
22,16,20,14,17,12,15,12,19,15,6.8,6.011782657566506,9,10,9,8
25,19,28,20,28,19,25,20,22,15,8.6,8.103815486720602,8,7,7,9
22,20,24,16,26,16,23,20,25,19,8.4,8.234855674099386,10,5,9,10
19,18,19,14,22,19,27,19,30,17,8.8,8.414645104190607,10,7,9,9
25,17,22,19,19,12,22,17,20,18,8.2,8.054643095012356,10,6,5,8
19,11,23,17,22,16,20,19,23,19,7.4,7.402195550620298,10,10,5,9
18,16,22,20,19,18,22,15,27,17,8.2,8.129774701796988,8,5,9,8
26,15,29,15,30,18,27,15,27,20,9.4,9.455466206217395,6,7,5,6
13,11,12,10,11,10,13,15,10,15,6.0,6.070490895567124,6,6,5,5
25,18,27,15,28,19,28,18,28,17,8.8,8.020963876814383,9,7,5,5
17,12,15,10,15,11,19,17,21,15,6.8,6.25223382257199,10,7,9,5
18,12,19,18,17,19,17,18,19,19,7.2,7.101707500618863,8,10,10,7
28,19,25,17,25,16,30,17,27,20,9.6,9.332058097738292,6,9,6,9
14,18,12,18,12,12,15,13,15,17,6.4,6.0979121396895275,10,6,6,9
14,20,13,11,10,13,12,14,16,16,6.4,6.31268464187014,6,10,9,7
25,15,29,16,27,15,30,15,27,15,7.2,7.3053567488205475,8,9,8,9
28,16,29,19,26,16,30,20,29,16,8.8,8.256434276116938,5,5,8,9
16,14,13,19,12,19,17,20,21,16,7.2,7.012027725391423,10,9,7,10
27,15,28,17,26,15,24,18,28,17,7.8,7.33604060925679,5,7,8,10
26,20,26,15,25,19,24,16,27,20,8.8,8.320184335660564,9,6,6,8
15,19,16,14,14,19,17,12,19,20,6.8,6.270537018743036,7,9,6,6
13,10,16,14,13,19,13,17,18,18,6.6,6.200868152036569,7,7,9,6
23,18,26,18,25,20,23,19,28,19,8.6,8.19196385467396,9,10,8,10
24,20,28,17,29,17,27,17,30,18,8.8,8.117505303072363,9,10,9,7
13,16,18,16,18,17,19,17,18,19,7.0,7.276593058687447,10,9,7,5
30,15,28,16,25,18,25,16,26,20,8.6,8.480552718400235,9,10,6,10
14,20,11,20,16,20,14,18,12,17,7.0,7.17022502546331,8,5,5,10
17,15,14,16,19,10,22,17,19,18,7.0,7.048735483928467,10,7,7,5
26,15,26,18,26,20,25,18,26,19,8.6,8.328136737690796,9,5,5,10
23,18,22,16,25,17,22,16,22,17,8.4,8.009366225125165,9,7,7,10
19,17,20,15,17,12,19,15,21,17,7.0,7.2068217488418345,10,7,7,9
30,17,28,15,29,17,27,18,24,17,8.8,8.425170901842566,9,10,10,9
19,13,24,15,25,19,23,18,25,20,7.8,7.317917977684215,7,6,5,6
14,19,13,11,17,17,14,17,11,15,6.6,6.255421295446334,6,6,5,5
18,18,20,20,22,16,22,18,22,15,7.2,7.2014070664103125,6,7,10,10
29,18,30,16,30,17,30,19,29,19,10.0,10.219459291202067,7,5,5,9
30,20,28,16,30,15,28,20,28,17,8.2,8.248251998688607,10,9,10,7
28,16,27,17,28,17,30,20,29,20,8.8,8.456921765506896,5,8,9,10
12,20,15,11,13,15,10,18,13,19,6.4,6.259358288137819,7,6,8,9
19,11,19,20,22,16,19,12,19,18,7.4,7.196569625134155,7,10,9,10
20,18,21,15,18,17,22,17,20,20,7.2,7.403154764438865,6,6,5,6
16,20,17,15,16,19,16,12,18,14,6.8,6.433300233061428,10,7,5,9
16,19,14,16,15,20,17,13,18,13,6.2,6.261726418518805,6,8,9,9
19,16,22,15,24,15,26,16,26,18,8.0,8.17655471481487,10,5,8,8
16,15,15,16,19,17,16,18,16,19,7.0,7.1502696055948896,6,6,10,10
24,16,25,20,30,15,28,15,29,17,7.4,7.325644815892264,7,6,7,7
17,14,16,10,17,12,20,10,23,16,6.6,6.48957314895164,8,10,8,7
21,17,24,17,23,15,20,15,19,11,7.4,7.338041084940317,6,10,5,6
24,17,29,15,30,16,29,17,26,16,9.4,9.270444803625072,10,10,9,10
21,15,19,18,17,14,17,12,19,15,7.2,7.428745435449487,10,9,10,7
26,16,23,20,21,16,20,17,19,11,8.0,8.244623968456954,7,8,7,9
17,10,19,10,20,16,18,20,18,19,7.2,7.112643998998664,5,6,5,7
18,17,17,16,21,19,23,18,20,10,6.8,6.457676061841302,9,5,6,9
15,15,15,14,14,14,15,13,17,14,6.2,6.497739904383982,7,5,7,9
13,19,17,18,20,20,19,12,23,20,7.0,7.456810926404956,7,6,5,10
19,17,20,10,18,15,23,15,20,12,7.2,7.306941495821766,9,10,7,10
17,12,14,16,18,19,21,20,18,12,7.0,7.384617897401549,10,7,10,6
24,15,29,15,30,15,27,20,27,18,7.8,7.207489236515647,8,5,6,9
26,16,23,20,24,18,22,18,21,18,8.2,8.369825837283805,9,7,10,5
13,17,16,17,17,18,15,14,18,20,6.6,6.426285998399701,10,9,5,7
18,19,23,18,28,17,29,20,30,17,8.6,8.110658311541114,5,9,10,6
17,10,21,15,21,17,25,17,28,20,8.2,8.172624955691532,7,5,6,7
22,17,26,20,25,20,30,15,28,20,8.0,8.01999559425058,5,9,8,9
17,16,17,14,20,12,23,16,21,16,7.4,7.380047838398383,10,7,8,7
17,11,14,13,14,16,11,11,9,11,6.0,6.143750201033591,5,9,6,9
18,18,23,18,28,16,29,17,27,16,9.0,9.00894413455777,10,5,7,6
14,10,12,12,15,17,14,20,14,10,6.4,6.263009464161105,8,8,5,5
15,20,17,16,18,20,20,16,25,19,7.6,7.31846598018554,9,10,6,6
15,12,17,15,18,18,16,18,13,20,7.0,7.071439482443763,9,8,8,9
13,14,16,15,15,14,15,17,16,13,6.4,6.136275451147822,6,7,5,6
15,15,12,20,15,14,18,16,18,18,6.8,6.381887642104723,6,6,9,10
30,17,29,17,30,16,29,20,29,20,10.0,10.202253548017577,5,6,10,10
28,20,30,17,30,16,28,20,26,19,9.2,9.04110459336946,5,6,5,6
24,16,22,16,20,19,19,16,17,11,6.8,6.1868118131485295,5,7,5,8
14,20,13,16,16,18,13,20,10,10,6.6,6.191620363937875,9,7,7,8
15,18,18,14,23,20,25,17,29,18,8.4,8.076270383387358,5,9,5,8
27,18,28,18,28,17,30,17,29,15,8.2,8.43601163230865,6,10,6,6
24,20,29,18,26,19,24,18,27,18,8.0,8.364313842482384,7,10,10,6
12,16,16,11,18,14,22,17,25,19,7.2,7.073562381729014,9,5,8,8
26,17,28,16,30,17,29,16,27,20,8.8,8.118545436025297,6,9,5,8
27,19,28,19,25,20,30,17,28,17,8.4,8.265921068121457,5,8,6,5
16,19,21,16,22,19,23,16,24,16,7.4,7.0447974246795475,6,7,5,7
14,17,17,18,21,16,19,14,19,11,6.8,6.401717877463549,5,10,10,9
14,16,11,13,16,20,17,10,17,15,6.6,6.069915415387729,8,9,6,9
22,17,19,12,16,20,21,20,18,11,7.6,7.147208351201573,10,8,5,10
15,10,16,14,13,14,15,12,14,20,6.2,6.3656058071816,10,10,8,7
13,11,17,20,19,17,22,17,20,10,7.2,7.056535201353376,8,9,10,7
16,17,18,19,16,16,20,12,23,15,7.4,7.416751960378377,7,6,7,9
26,18,26,20,30,17,27,17,27,19,9.6,9.093838828964945,6,9,8,6
29,16,26,18,27,19,24,18,27,16,8.6,8.28095144980947,10,10,5,6
15,17,17,15,15,17,17,10,20,16,7.0,7.297875056842311,5,5,8,6
23,17,20,15,23,20,21,15,20,19,7.4,7.215265400978349,6,10,7,7
18,11,23,19,21,18,19,10,17,11,7.0,7.045484230479468,5,5,10,6
17,12,18,11,21,16,18,10,22,18,6.4,6.340178574677627,10,10,10,9
15,13,19,18,22,18,26,19,27,15,7.0,7.00020070838295,9,10,5,8
17,17,14,11,17,20,16,19,17,10,6.6,6.024874197714655,8,6,7,8
25,19,24,18,21,17,22,17,23,16,8.4,8.377709841708409,8,5,6,8
14,15,11,15,12,20,10,11,15,11,6.2,6.287934799214323,6,5,9,9
20,20,20,16,18,12,20,15,24,19,7.0,7.240814102484326,8,9,10,6
19,11,20,13,24,15,25,15,25,17,7.2,7.330719632113419,6,5,9,9
18,11,18,10,23,19,21,18,23,15,7.4,7.005318138944223,9,6,8,10
30,17,30,19,30,16,28,19,28,17,9.2,9.353430064795909,7,10,5,9
25,15,28,17,25,20,23,17,22,17,6.4,6.27707112120746,8,7,9,10
20,15,18,17,23,18,24,18,29,20,8.0,8.004896085478222,8,5,9,5
19,15,19,10,20,12,21,19,22,16,6.8,6.115521489988744,8,10,10,9
20,19,22,19,26,19,25,15,24,19,7.6,7.261583417973514,7,10,10,7
18,10,18,20,15,16,18,17,15,20,6.6,6.1093248558361415,5,7,5,9
19,18,16,18,13,12,16,18,21,16,7.2,7.053597242590639,7,10,10,5
25,16,25,16,28,16,26,19,25,15,7.8,7.489082938695301,6,7,10,9
27,20,24,15,26,20,24,18,22,20,9.2,9.266523825949509,6,6,7,10
19,14,17,12,21,16,22,17,23,16,7.4,7.145351359534104,8,7,5,7
18,11,16,20,16,12,21,16,25,18,7.4,7.092897166606006,5,9,8,10
23,19,20,20,19,11,16,15,14,16,6.8,6.324369773513788,7,6,10,9
19,19,17,11,22,19,25,18,27,18,7.6,7.376978410507262,6,8,10,8
30,16,27,19,29,19,26,16,28,18,9.8,9.184366891606476,6,8,5,9
27,18,27,18,28,16,27,19,25,18,8.0,8.381633146360395,7,8,6,6
24,17,29,18,27,16,30,17,28,17,8.8,8.413107272987467,9,6,7,8
15,16,13,12,18,16,23,18,23,16,7.4,7.102271645341461,7,10,10,6
25,20,23,15,22,18,19,20,18,17,6.8,6.298127728387545,10,5,10,9
13,14,11,10,11,15,16,15,13,16,6.2,6.241318432606537,10,8,7,7
28,16,29,19,28,15,26,19,23,17,8.0,8.18853438994035,6,8,7,10
26,17,26,18,29,15,28,17,26,19,7.8,7.363079446891238,5,8,7,9
23,16,20,15,25,20,30,19,29,19,8.0,8.054106347063062,5,10,5,6
24,17,22,19,23,17,25,18,25,19,8.4,8.191361443546448,9,9,7,5
19,18,24,15,26,20,29,15,30,17,9.0,9.423483170634395,6,6,7,8
27,15,30,17,28,15,30,17,28,18,9.6,9.459841715367288,8,10,8,7
17,19,14,10,14,20,13,12,18,15,6.8,6.458609743421122,5,9,6,9
29,18,30,18,27,17,26,18,29,18,9.6,9.484673039767562,6,6,8,6
30,20,28,19,27,18,30,16,28,15,9.0,9.22263265635881,6,5,9,8
23,17,26,16,28,15,25,17,29,18,8.6,8.429778213446099,7,9,10,10
16,10,20,11,23,19,28,18,27,18,7.6,7.031489229809623,7,8,5,6
30,18,29,17,29,19,30,19,27,18,9.2,9.293371913512477,7,10,10,9
13,15,16,19,17,19,14,10,15,12,6.4,6.259029119112893,7,7,8,6
27,17,29,20,30,18,30,19,29,15,9.6,9.408003223110901,10,7,6,8
27,18,27,19,25,15,26,17,23,19,8.0,8.402310662623016,9,9,9,5
24,16,22,17,23,16,26,17,23,17,7.4,7.120866428542165,6,6,8,5
21,17,23,20,20,18,24,17,29,18,8.8,8.032246392015153,8,5,6,7
27,15,29,16,28,15,28,20,30,18,8.8,8.442049922281102,5,7,5,7
12,19,10,17,8,13,8,18,11,20,6.4,6.137261385367129,10,7,10,10
12,19,14,10,16,20,16,19,21,20,7.2,7.424319089098075,9,8,5,6
27,20,24,19,22,15,21,16,18,16,8.4,8.471616279862875,7,10,6,10
13,12,14,11,12,12,9,16,11,19,6.0,6.18420922498149,8,6,8,8
29,20,28,17,29,17,29,15,26,17,8.8,8.021287328000609,7,7,7,8
14,17,19,14,22,15,19,18,19,12,7.4,7.083544542927935,5,5,5,7
16,17,16,18,16,19,15,10,20,14,6.6,6.473239619689875,5,10,8,7
23,15,27,19,26,19,29,17,30,18,8.8,8.331781724520471,7,9,7,9
13,10,18,14,22,19,25,19,29,17,8.2,8.428906648316064,9,8,10,10
29,16,29,16,28,19,26,15,23,15,7.8,7.096230133143222,7,5,7,5
13,11,12,17,9,18,10,16,11,19,6.0,6.125390942693453,7,9,7,6
21,15,21,16,24,20,21,15,25,15,7.8,7.042002828987432,9,10,8,8
19,16,24,20,25,17,28,16,25,18,8.4,8.10521886401022,7,9,5,7
30,17,27,17,25,20,23,19,25,15,8.0,8.153147234487047,7,9,6,7
13,15,14,15,19,17,18,17,18,12,6.4,6.474326021986619,9,7,7,7
17,20,15,20,14,10,13,10,14,13,6.4,6.108364728282122,9,9,7,6
26,17,27,15,24,20,29,15,28,20,9.2,9.037709857787034,7,9,7,5
12,10,9,11,10,10,11,18,13,18,6.2,6.243772162571868,8,6,8,5
